year,datetime,stage,stadium,city,team_name,team_goals,playing_against,win_conditions,attendance,referee,assistant_1,assistant_2,round_id,match_id,win,response
2010,17 Jun 2010 - 16:00,Group B,Free State Stadium,Mangaung/Bloemfontein,Greece,2,Nigeria,NA,31593,RUIZ Oscar (COL),GONZALEZ Abraham (COL),CLAVIJO Humberto (COL),249722,300061457,yes,1
2010,17 Jun 2010 - 16:00,Group B,Free State Stadium,Mangaung/Bloemfontein,Nigeria,1,Greece,NA,31593,RUIZ Oscar (COL),GONZALEZ Abraham (COL),CLAVIJO Humberto (COL),249722,300061457,no,0
2010,17 Jun 2010 - 13:30,Group B,Soccer City Stadium,Johannesburg,Argentina,4,Korea Republic,NA,82174,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),249722,300061458,yes,1
2010,17 Jun 2010 - 13:30,Group B,Soccer City Stadium,Johannesburg,Korea Republic,1,Argentina,NA,82174,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),249722,300061458,no,0
2010,12 Jun 2010 - 13:30,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Korea Republic,2,Greece,NA,31513,HESTER Michael (NZL),HINTZ Jan Hendrik (NZL),MAKASINI Tevita (TGA),249722,300061459,yes,1
2010,12 Jun 2010 - 13:30,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Greece,0,Korea Republic,NA,31513,HESTER Michael (NZL),HINTZ Jan Hendrik (NZL),MAKASINI Tevita (TGA),249722,300061459,no,0
2010,12 Jun 2010 - 16:00,Group B,Ellis Park Stadium,Johannesburg,Argentina,1,Nigeria,NA,55686,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),249722,300061460,yes,1
2010,12 Jun 2010 - 16:00,Group B,Ellis Park Stadium,Johannesburg,Nigeria,0,Argentina,NA,55686,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),249722,300061460,no,0
2010,23 Jun 2010 - 16:00,Group C,Loftus Versfeld Stadium,Tshwane/Pretoria,USA,1,Algeria,NA,35827,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),249722,300061461,yes,1
2010,23 Jun 2010 - 16:00,Group C,Loftus Versfeld Stadium,Tshwane/Pretoria,Algeria,0,USA,NA,35827,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),249722,300061461,no,0
2010,23 Jun 2010 - 16:00,Group C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Slovenia,0,England,NA,36893,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),249722,300061462,no,0
2010,23 Jun 2010 - 16:00,Group C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,England,1,Slovenia,NA,36893,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),249722,300061462,yes,1
2010,18 Jun 2010 - 16:00,Group C,Ellis Park Stadium,Johannesburg,Slovenia,2,USA,NA,45573,Koman COULIBALY (MLI),ACHIK Redouane (MAR),MANUEL CANDIDO Inacio (ANG),249722,300061463,no,0
